Org Type,Beds,USNEWS Directory,City,State,Par Org,Organization,Pri. Domain,Full Org URL,YouTube Account,YouTube Date,YouTube URL ,TW 1st update,Twitter Account,Twitter URL,FaceBook URL,Blog,FourSquare,LinkedIn,Pinterest,Google+,Delicious,Flickr,Quantcast,Compete
H-Children's,75,http://health.usnews.com/best-hospitals/willow-crest-hospital-6730625,Miami,OK,none,"Willow Crest Hospital, Inc./Moccasin Bend Ranch",willowcresthospital.com,http://www.willowcresthospital.com/,none,,none,,none,none,http://www.facebook.com/pages/Willow-Crest-Hospital-IncMoccasin-Bend-Ranch/310935229385,none,none,none,,,,,,
H-GenMed&Surg,88,http://health.usnews.com/best-hospitals/jack-c.-montgomery-veterans-affairs-medical-center-6730670,Muskogee,OK,Department of Veterans Affairs,Muskogee VA Medical Center,muskogee.va.gov,http://www.muskogee.va.gov/,none,,none,,none,none,http://www.facebook.com/MuskogeeVA,none,https://foursquare.com/venue/4201080,none,,,,,,
H-GenMed&Surg,377,http://health.usnews.com/best-hospitals/norman-regional-health-system-6730074 ,Norman,OK,none,Norman Regional Health System,normanregional.com,http://normanregional.com,none,,none,02/02/2009,NormanRegional,http://twitter.com/NormanRegional,http://www.facebook.com/normanregional,http://www.normanregional.com/en/forpatients.html,http://foursquare.com/venue/4289240,none,,,,,,
Health System,NA,none,Northwest,OK,none,St John Health System,stjohnhealthsystem.com,http://www.stjohnhealthsystem.com/,none,,none,14/04/2009,StJohnHealthOK,http://twitter.com/StJohnHealthOK,none,none,none,none,,,,,,
H-Orthopedic,11,http://health.usnews.com/best-hospitals/bone-and-joint-hospital-6730730 ,Oklahoma City,OK,SSM Health Care,Bone and Joint Hospital,boneandjoint.com,http://www.boneandjoint.com/,boneandjointokc,11/17/08,http://www.youtube.com/boneandjointokc,03/06/2009,boneandjointokc,http://twitter.com/boneandjointokc,http://www.facebook.com/pages/Bone-and-Joint-Hospital/90127440558,none,http://foursquare.com/venue/271630,none,,,,,,
H-Childrens,na,none,Oklahoma City,OK,OU Medical Center,Children's Hospital at OU Medcial Center,oumedicine.com,http://www.oumedicine.com/landing.cfm?id=454,none,,none,,none,none,none,none,none,none,,,,,,
Health System,NA,none,Oklahoma City,OK,none,Integris Health System,integris-health.com,http://www.integris-health.com/INTEGRIS/en-US/,integrishealth,02/08/08,http://www.youtube.com/user/integrishealth,15/05/2009,integrishealth,http://twitter.com/integrishealth,http://www.facebook.com/integrishealthOK,none,none,none,http://pinterest.com/integrishealth/,,,,,
H-GenMed&Surg,23,http://health.usnews.com/best-hospitals/lakeside-women's-hospital-6730035,Oklahoma City,OK,none,Lakeside Women's Hospital,lakeside-wh.com,http://www.lakeside-wh.com/,none,,none,03/06/2009,womenshealthokc,http://twitter.com/womenshealthokc,http://www.facebook.com/lakesidewomenshospital,none,http://foursquare.com/venue/3192432,none,,,,,,
H-GenMed&Surg,168,http://health.usnews.com/best-hospitals/veterans-affairs-medical-center-6730850,Oklahoma City,OK,Department of Veterans Affairs,Oklahoma City VA Medical Center,oklahoma.va.gov,http://www.oklahoma.va.gov/,none,,none,,none,none,http://www.facebook.com/OklahomaCityVAMC,none,https://foursquare.com/venue/16581860,none,,,,,,
H-GenMed&Surg,587,http://health.usnews.com/best-hospitals/ou-medical-center-6730024 ,Oklahoma City,OK,HCA,OU Medical Center,oumedcenter.com,http://www.oumedcenter.com/,oumedicine,03/24/09,http://www.youtube.com/oumedicine,24/04/2009,OUMedicine,http://twitter.com/OUMedicine,http://www.facebook.com/OUMedicalCenter,none,http://foursquare.com/venue/7671655,none,,,,,,
